R1-PA1:VH,R1-PM1:V,R1-PA2:VH,R1-PM2:V,R1-PA3:VH,R1-PM3:V,R1-PA4:IH,R1-PM4:I,R1-PA5:IH,R1-PM5:I,R1-PA6:IH,R1-PM6:I,R1-PA7:VH,R1-PM7:V,R1-PA8:VH,R1-PM8:V,R1-PA9:VH,R1-PM9:V,R1-PA10:IH,R1-PM10:I,R1-PA11:IH,R1-PM11:I,R1-PA12:IH,R1-PM12:I,R1:F,R1:DF,R1-PA:Z,R1-PA:ZH,R1:S,R2-PA1:VH,R2-PM1:V,R2-PA2:VH,R2-PM2:V,R2-PA3:VH,R2-PM3:V,R2-PA4:IH,R2-PM4:I,R2-PA5:IH,R2-PM5:I,R2-PA6:IH,R2-PM6:I,R2-PA7:VH,R2-PM7:V,R2-PA8:VH,R2-PM8:V,R2-PA9:VH,R2-PM9:V,R2-PA10:IH,R2-PM10:I,R2-PA11:IH,R2-PM11:I,R2-PA12:IH,R2-PM12:I,R2:F,R2:DF,R2-PA:Z,R2-PA:ZH,R2:S,R3-PA1:VH,R3-PM1:V,R3-PA2:VH,R3-PM2:V,R3-PA3:VH,R3-PM3:V,R3-PA4:IH,R3-PM4:I,R3-PA5:IH,R3-PM5:I,R3-PA6:IH,R3-PM6:I,R3-PA7:VH,R3-PM7:V,R3-PA8:VH,R3-PM8:V,R3-PA9:VH,R3-PM9:V,R3-PA10:IH,R3-PM10:I,R3-PA11:IH,R3-PM11:I,R3-PA12:IH,R3-PM12:I,R3:F,R3:DF,R3-PA:Z,R3-PA:ZH,R3:S,R4-PA1:VH,R4-PM1:V,R4-PA2:VH,R4-PM2:V,R4-PA3:VH,R4-PM3:V,R4-PA4:IH,R4-PM4:I,R4-PA5:IH,R4-PM5:I,R4-PA6:IH,R4-PM6:I,R4-PA7:VH,R4-PM7:V,R4-PA8:VH,R4-PM8:V,R4-PA9:VH,R4-PM9:V,R4-PA10:IH,R4-PM10:I,R4-PA11:IH,R4-PM11:I,R4-PA12:IH,R4-PM12:I,R4:F,R4:DF,R4-PA:Z,R4-PA:ZH,R4:S,control_panel_log1,control_panel_log2,control_panel_log3,control_panel_log4,relay1_log,relay2_log,relay3_log,relay4_log,snort_log1,snort_log2,snort_log3,snort_log4
108.386426,131835.2537,-11.573747,131810.1804,-131.579758,131885.4002,114.643125,302.49772,-12.421725,333.80953,-124.125577,298.4693,108.409344,131835.2537,0,0,0,0,112.511722,310.92078,172.649372,17.94478,-53.62885,18.311,59.997,0.01,14.84344683,-0.132179,0,103.389591,130870.1094,-16.55365,130725.6953,-136.590273,130960.5625,-75.78644,307.479858,157.1457,337.600708,45.14557,302.856445,103.411564,130849.9375,0,0,0,0,-78.005678,315.34195,-17.690735,18.15033,114.700009,17.515183,59.994999,0.01,14.33706415,3.101577,0,103.390234,130406.0773,-16.569939,130381.004,-136.558761,130431.1505,-76.077336,306.70925,156.789901,335.64063,44.736545,302.1315,103.418882,130406.0773,0,0,0,0,-78.351978,314.21676,-18.632588,17.94478,113.073221,17.02923,59.995,0.01,14.25420182,3.102825,0,108.47237,131860.3269,-11.522181,131233.4952,-131.522462,131935.5467,114.648855,302.1315,-12.559235,331.4291,-124.520918,297.91997,108.47237,131684.814,0,0,0,0,112.351294,309.82212,172.466026,17.94478,-56.419154,17.21234,59.995,0.01,14.68700739,-0.13804,0,0,0,0,0,0,0,0,0,0,0,0,0
107.824928,131634.6675,-12.135246,131609.5942,-132.141256,131684.814,113.159165,307.07547,-12.175353,331.97843,-125.718399,303.77949,107.842116,131634.6675,0,0,0,0,111.640826,313.85054,171.549293,13.91636,-52.608985,14.46569,59.997,0,14.00297462,-0.10349,0,102.812809,130669.9688,-17.135925,130526.1875,-137.18353,130766.9297,-77.286077,312.452332,157.283028,335.838318,43.536073,308.441162,102.82929,130654.2969,0,0,0,0,-78.928532,318.534851,-19.151917,14.173508,115.018623,13.744354,59.999001,0.01,13.5240294,3.128576,0,102.811547,130230.5644,-17.148627,130180.4178,-137.148907,130255.6377,-77.572756,311.65322,157.242537,333.07709,43.30415,306.89236,102.834465,130230.5644,0,0,0,0,-79.102553,316.7803,-20.964526,13.55014,115.473914,13.00081,59.999,0,13.41124186,3.136469,0,107.905142,131684.814,-12.08368,131057.9823,-132.072501,131734.9606,113.250838,306.70925,-12.037843,328.13312,-126.096552,302.86394,107.910871,131484.2279,0,0,0,0,111.606449,312.20255,171.635237,13.36703,-55.708686,12.63459,59.999,0.01,13.76231967,-0.109716,0,0,0,0,0,0,0,0,0,0,0,0,0
107.37802,131760.0339,-12.582153,131734.9606,-132.588163,131835.2537,111.18246,314.39987,-12.834255,332.52776,-127.866991,311.65322,107.400939,131785.1071,0,0,0,0,110.09957,319.34384,167.888093,10.62038,-54.218996,10.9866,60,0,13.18577461,-0.073367,0,102.373355,130820.0625,-17.5589,130671.875,-137.612001,130906.5,-79.351505,319.902405,156.579901,336.353302,41.333313,317.029968,102.400819,130798.2266,0,0,0,0,-80.538025,324.205383,-23.403626,10.48851,111.766668,10.293961,60,0,12.74965749,-3.123783,0,102.376099,130355.9307,-17.572616,130330.8575,-137.567167,130381.004,-79.515083,318.42829,156.480503,333.80953,41.218584,314.76609,102.404747,130355.9307,0,0,0,0,-80.666728,322.09049,-25.353382,10.43727,112.322646,9.88794,59.999,0,12.72596973,-3.119153,0,107.452505,131835.2537,-12.513398,131183.3486,-132.525138,131885.4002,111.279863,313.30121,-12.776959,329.41489,-128.050338,309.82212,107.463964,131634.6675,0,0,0,0,110.09384,317.32963,167.406809,10.43727,-56.401965,9.88794,59.999,0,13.10856861,-0.076857,0,0,0,0,0,0,0,0,0,0,0,0,0
107.337913,131810.1804,-12.616531,131760.0339,-132.62827,131860.3269,110.91317,315.68164,-12.948846,332.52776,-128.1592,312.56877,107.360832,131810.1804,0,0,0,0,109.876116,320.07628,166.724989,10.25416,-54.150241,10.43727,60,0,13.06008721,-0.068673,0,102.340399,130855.0781,-17.602845,130703.8047,-137.644964,130945.8203,-79.60968,320.743561,156.475536,336.399078,41.124572,317.682251,102.362372,130834.7578,0,0,0,0,-80.724797,324.726105,-24.645081,10.190964,112.074286,9.979248,60,0,12.68022736,-3.118427,0,102.341721,130381.004,-17.618452,130355.9307,-137.613003,130431.1505,-79.744266,318.97762,156.451856,333.80953,40.86908,315.49853,102.370369,130381.004,0,0,0,0,-80.861534,322.63982,-24.184549,9.88794,112.190866,9.33861,60,0,12.63534493,-3.114916,0,107.423857,131860.3269,-12.570694,131208.4219,-132.548056,131910.4735,111.107976,313.85054,-12.862903,329.41489,-128.336817,311.10389,107.435316,131659.7408,0,0,0,0,109.921953,317.87896,168.082899,10.07105,-58.350022,9.70483,60,0,13.03675421,-0.076938,0,0,0,0,0,0,0,0,0,0,0,0,0
107.297806,131835.2537,-12.662367,131810.1804,-132.668377,131910.4735,110.563666,316.59719,-13.109274,332.34465,-128.566,314.03365,107.314995,131860.3269,0,0,0,0,109.572449,320.80872,165.831175,9.52172,-55.651391,9.88794,60,0,12.95113794,-0.064676,0,102.301945,130895.5781,-17.630311,130746.0234,-137.683418,130985.6875,-79.79096,321.069702,156.398628,336.313232,40.663149,319.684998,102.323918,130874.0781,0,0,0,0,-80.955507,325.504303,-22.156678,9.338379,108.014831,9.45282,60,0,12.59564185,-3.121349,0,102.301614,130456.2238,-17.658559,130406.0773,-137.647381,130481.2971,-80.042204,319.89317,156.423208,333.62642,40.479468,317.51274,102.330262,130431.1505,0,0,0,0,-81.084987,323.55537,-24.041309,8.97239,109.933412,8.78928,59.999,0,12.52238007,-3.112395,0,107.37802,131885.4002,-12.605071,131258.5685,-132.599623,131935.5467,110.815767,315.13231,-13.046249,329.96422,-128.755076,312.93499,107.38948,131709.8873,0,0,0,0,109.618285,319.16073,168.254786,9.52172,-60.555909,9.1555,60,0,12.92085895,-0.074752,0,0,0,0,0,0,0,0,0,0,0,0,0
107.148837,131935.5467,-12.811336,131910.4735,-132.817347,131985.6933,109.389102,320.99183,-13.412942,332.89398,-129.92391,319.34384,107.166026,131935.5467,0,0,0,0,108.649987,324.28781,164.100842,7.14129,-57.530692,7.69062,60,0,12.50215105,-0.045624,0,102.164617,130988.2813,-17.778626,130830.0078,-137.826237,131070.4531,-81.015934,325.66452,156.085518,336.914063,39.240417,324.903503,102.18659,130961.9375,0,0,0,0,-81.922307,329.057678,-22.771912,6.980896,105.086975,7.055283,60,0,12.14181554,-3.099683,0,102.158375,130531.4436,-17.801799,130481.2971,-137.784891,130556.5169,-81.256875,323.92159,156.090892,334.35886,39.052803,322.82293,102.187023,130531.4436,0,0,0,0,-82.064745,327.03446,-23.48554,6.59196,107.028516,6.59196,59.999,0,12.11854485,-3.092376,0,107.223322,131985.6933,-12.7655,131333.7883,-132.737132,132035.8398,109.520883,319.16073,-13.321269,329.78111,-130.181741,317.87896,107.240511,131785.1071,0,0,0,0,108.644257,322.2736,166.816662,6.95818,-63.099842,6.77507,60,0,12.46825757,-0.051927,0,0,0,0,0,0,0,0,0,0,0,0,0
107.143108,131935.5467,-12.811336,131910.4735,-132.817347,131985.6933,109.326077,321.17494,-13.412942,332.89398,-129.958287,319.16073,107.166026,131935.5467,0,0,0,0,108.621339,324.28781,164.100842,7.14129,-56.453532,7.50751,60,0,12.48361313,-0.042902,0,102.159119,130985.7344,-17.784119,130835.2969,-137.826237,131076.875,-81.098333,326.059326,156.085518,336.908325,39.196475,324.972168,102.181092,130964.1875,0,0,0,0,-81.966252,329.212189,-23.705751,6.900787,105.971375,6.877899,60,0,12.10958791,-3.096871,0,102.158375,130531.4436,-17.801799,130481.2971,-137.79635,130556.5169,-81.296982,324.47092,156.085163,334.17575,38.989778,322.82293,102.187023,130531.4436,0,0,0,0,-82.099122,327.03446,-24.746047,6.40885,106.764956,6.22574,60,0,12.06356599,-3.091066,0,107.229051,131985.6933,-12.7655,131333.7883,-132.742862,132035.8398,109.497964,319.71006,-13.338457,330.14733,-130.130174,317.87896,107.234781,131785.1071,0,0,0,0,108.649987,322.45671,165.286865,6.95818,-61.793498,6.77507,60,0,12.45139492,-0.049833,0,0,0,0,0,0,0,0,0,0,0,0,0
107.097271,131935.5467,-12.857173,131910.4735,-132.863183,132010.7666,108.919277,322.2736,-13.504615,333.2602,-130.376546,320.62561,107.120189,131960.62,0,0,0,0,108.323401,325.38647,163.751338,6.40885,-55.422208,6.95818,59.999,0,12.37509225,-0.034866,0,102.115174,131007.8672,-17.822571,130852.9766,-137.864691,131090.2813,-81.438907,327.089294,155.964665,336.908325,38.971253,325.796143,102.137146,130981.4766,0,0,0,0,-82.191471,329.835877,-26.688539,6.448746,106.971131,6.511688,59.999001,0,12.03617603,-3.089645,0,102.112538,130531.4436,-17.847635,130506.3704,-137.830727,130581.5902,-81.663675,325.38647,155.947653,334.54197,38.668922,323.92159,102.141186,130531.4436,0,0,0,0,-82.368413,327.95001,-24.98096,6.04263,108.214539,5.85952,60,0,11.99381305,-3.083806,0,107.171756,132010.7666,-12.794148,131358.8615,-132.800158,132060.9131,109.171378,320.4425,-13.407212,329.96422,-130.628648,319.71006,107.188944,131810.1804,0,0,0,0,108.363508,323.37226,167.045845,6.04263,-65.357296,6.04263,60,0,12.33526697,-0.047218,0,0,0,0,0,0,0,0,0,0,0,0,0
107.034246,131960.62,-12.925928,131935.5467,-132.931938,132035.8398,108.455181,324.1047,-13.613477,333.07709,-130.949504,322.63982,107.051434,131960.62,0,0,0,0,107.945249,326.66824,162.255918,5.4933,-56.591041,5.85952,60,0,12.17894137,-0.027938,0,102.043764,131012.0781,-17.893982,130863.1563,-137.930602,131100.125,-82.03217,328.937531,155.832829,337.245941,38.35602,328.256592,102.071228,130988.1797,0,0,0,0,-82.630925,331.415161,-27.633362,5.22995,106.218567,5.561829,60,0,11.86573445,-3.079021,0,102.049513,130556.5169,-17.91639,130531.4436,-137.893753,130556.5169,-82.144959,327.21757,155.747118,334.72508,38.210555,325.20336,102.078161,130531.4436,0,0,0,0,-82.746565,328.86556,-28.756752,5.4933,108.804685,5.12708,60,0,11.84666519,-3.074237,0,107.103001,132010.7666,-12.868632,131358.8615,-132.857453,132060.9131,108.695823,322.2736,-13.533263,330.14733,-130.938045,320.4425,107.120189,131810.1804,0,0,0,0,108.05984,324.28781,162.462183,5.67641,-61.610152,5.31019,60,0,12.19534141,-0.034783,0,0,0,0,0,0,0,0,0,0,0,0,0
107.022787,131960.62,-12.931657,131935.5467,-132.943397,132035.8398,108.449452,324.28781,-13.653584,333.44331,-130.897938,322.2736,107.039975,131960.62,0,0,0,0,107.945249,326.66824,161.797552,5.67641,-54.820602,6.04263,60,0,12.18907369,-0.026348,0,102.049255,131013.9922,-17.904969,130861.2969,-137.952582,131108.3125,-82.076116,329.120636,155.794375,337.486267,38.262634,328.262329,102.060245,130991.1172,0,0,0,0,-82.685853,331.558228,-26.265564,5.281448,106.608584,5.447388,59.999001,0,11.84909592,-3.077643,0,102.049513,130556.5169,-17.927849,130531.4436,-137.9224,130556.5169,-82.167877,327.03446,155.833061,334.90819,38.061586,325.20336,102.066702,130531.4436,0,0,0,0,-82.775213,329.04867,-24.075687,5.12708,109.354725,4.76086,60,0,11.82604682,-3.072643,0,107.097271,132010.7666,-12.885821,131358.8615,-132.874642,132060.9131,108.592691,322.45671,-13.567641,330.33044,-131.023989,320.99183,107.10873,131810.1804,0,0,0,0,107.979626,324.47092,162.141326,5.4933,-61.449724,5.31019,59.999,0,12.18530412,-0.033189,0,0,0,0,0,0,0,0,0,0,0,0,0
