R1-PA1:VH,R1-PM1:V,R1-PA2:VH,R1-PM2:V,R1-PA3:VH,R1-PM3:V,R1-PA4:IH,R1-PM4:I,R1-PA5:IH,R1-PM5:I,R1-PA6:IH,R1-PM6:I,R1-PA7:VH,R1-PM7:V,R1-PA8:VH,R1-PM8:V,R1-PA9:VH,R1-PM9:V,R1-PA10:IH,R1-PM10:I,R1-PA11:IH,R1-PM11:I,R1-PA12:IH,R1-PM12:I,R1:F,R1:DF,R1-PA:Z,R1-PA:ZH,R1:S,R2-PA1:VH,R2-PM1:V,R2-PA2:VH,R2-PM2:V,R2-PA3:VH,R2-PM3:V,R2-PA4:IH,R2-PM4:I,R2-PA5:IH,R2-PM5:I,R2-PA6:IH,R2-PM6:I,R2-PA7:VH,R2-PM7:V,R2-PA8:VH,R2-PM8:V,R2-PA9:VH,R2-PM9:V,R2-PA10:IH,R2-PM10:I,R2-PA11:IH,R2-PM11:I,R2-PA12:IH,R2-PM12:I,R2:F,R2:DF,R2-PA:Z,R2-PA:ZH,R2:S,R3-PA1:VH,R3-PM1:V,R3-PA2:VH,R3-PM2:V,R3-PA3:VH,R3-PM3:V,R3-PA4:IH,R3-PM4:I,R3-PA5:IH,R3-PM5:I,R3-PA6:IH,R3-PM6:I,R3-PA7:VH,R3-PM7:V,R3-PA8:VH,R3-PM8:V,R3-PA9:VH,R3-PM9:V,R3-PA10:IH,R3-PM10:I,R3-PA11:IH,R3-PM11:I,R3-PA12:IH,R3-PM12:I,R3:F,R3:DF,R3-PA:Z,R3-PA:ZH,R3:S,R4-PA1:VH,R4-PM1:V,R4-PA2:VH,R4-PM2:V,R4-PA3:VH,R4-PM3:V,R4-PA4:IH,R4-PM4:I,R4-PA5:IH,R4-PM5:I,R4-PA6:IH,R4-PM6:I,R4-PA7:VH,R4-PM7:V,R4-PA8:VH,R4-PM8:V,R4-PA9:VH,R4-PM9:V,R4-PA10:IH,R4-PM10:I,R4-PA11:IH,R4-PM11:I,R4-PA12:IH,R4-PM12:I,R4:F,R4:DF,R4-PA:Z,R4-PA:ZH,R4:S,control_panel_log1,control_panel_log2,control_panel_log3,control_panel_log4,relay1_log,relay2_log,relay3_log,relay4_log,snort_log1,snort_log2,snort_log3,snort_log4
-34.377468,130932.6159,-154.36056,130882.4694,85.640002,130982.7625,-38.336606,483.4104,-158.852549,484.50906,81.680863,483.4104,-34.360279,130932.6159,0,0,0,0,-38.502764,483.77662,0,0,0,0,60,0,7.753858457,0.064252,0,-41.728822,129037.1172,-161.666575,128903.8203,78.291323,129121.7422,134.354561,489.240662,14.114686,490.493774,-105.416566,488.800049,-41.701355,129023.2109,0,0,0,0,134.354561,489.526733,0,0,0,0,60,0,7.553868823,-3.073,0,-41.722787,128575.7286,-161.68869,128550.6553,78.323331,128600.8018,134.192445,487.0726,14.129139,487.62193,-105.630499,485.60772,-41.694139,128575.7286,0,0,0,0,134.226823,486.70638,0,0,0,0,59.999,0,7.529199705,-3.067057,0,-34.320172,131007.8358,-154.314723,130355.9307,85.703027,131057.9823,-38.514223,480.84686,-158.686391,482.49485,81.646486,479.93131,-34.314442,130807.2496,0,0,0,0,-38.514223,481.02997,0,0,0,0,59.999,0,7.792172431,0.075483,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.451952,130932.6159,-154.429315,130907.5427,85.576976,130982.7625,-38.531412,483.59351,-159.012977,484.87528,81.503246,483.77662,-34.434763,130932.6159,0,0,0,0,-38.680381,484.14284,0,0,0,0,60,0,7.752809068,0.066716,0,-41.800232,129047.5547,-161.743469,128907.25,78.214415,129126,134.195254,489.624023,14.021302,490.768433,-105.652774,489.377991,-41.772768,129024.7266,0,0,0,0,134.184271,489.927307,0,0,0,0,60,0,7.533378686,-3.071417,0,-41.797271,128600.8018,-161.757445,128550.6553,78.248846,128600.8018,134.060665,487.25571,13.968711,487.62193,-105.704984,485.79083,-41.774353,128600.8018,0,0,0,0,134.100772,486.88949,0,0,0,0,59.999,0,7.535027246,-3.066445,0,-34.388927,130982.7625,-154.389208,130355.9307,85.634272,131057.9823,-38.623085,481.21308,-158.875467,482.67796,81.58346,479.7482,-34.377468,130807.2496,0,0,0,0,-38.640274,481.21308,0,0,0,0,60,0,7.793383078,0.07616,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.492059,130932.6159,-154.475151,130882.4694,85.53114,131007.8358,-38.617355,484.14284,-159.10465,485.2415,81.468869,484.14284,-34.4806,130957.6892,0,0,0,0,-38.749136,484.50906,0,0,0,0,60,0,7.748234832,0.067725,0,-41.838686,129053.2344,-161.781923,128907.0547,78.175968,129124.3828,134.09638,489.606873,13.878479,491.048828,-105.658266,489.624023,-41.816713,129027.6719,0,0,0,0,134.101871,490.093231,0,0,0,0,59.999001,0,7.552733715,-3.070704,0,-41.843108,128600.8018,-161.803281,128575.7286,78.208739,128600.8018,133.928885,486.88949,13.911415,487.62193,-105.853953,485.97394,-41.80873,128600.8018,0,0,0,0,133.99191,486.88949,0,0,0,0,60,0,7.538151901,-3.064658,0,-34.440493,130982.7625,-154.429315,130355.9307,85.588435,131057.9823,-38.726217,481.39619,-158.955681,482.49485,81.45168,480.29753,-34.423304,130807.2496,0,0,0,0,-38.737677,481.39619,0,0,0,0,60,0,7.781954695,0.07608,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.555085,130932.6159,-154.532447,130907.5427,85.462385,131007.8358,-38.697569,484.32595,-159.213512,485.2415,81.308441,484.69217,-34.543625,130957.6892,0,0,0,0,-38.869457,484.69217,0,0,0,0,60,0,7.736770904,0.066492,0,-41.904604,129060.4297,-161.842357,128909.3047,78.115542,129131.4844,133.953561,489.830017,13.801575,491.203308,-105.834048,490.070343,-41.877136,129031.6875,0,0,0,0,133.970035,490.373596,0,0,0,0,60,0,7.540294955,-3.069169,0,-41.906133,128600.8018,-161.866307,128575.7286,78.145714,128600.8018,133.8544,486.88949,13.791094,487.62193,-105.974274,486.15705,-41.871756,128600.8018,0,0,0,0,133.888778,486.88949,0,0,0,0,60,0,7.536961892,-3.065509,0,-34.503518,130982.7625,-154.49807,130355.9307,85.52541,131057.9823,-38.835079,481.39619,-159.058814,482.86107,81.342818,480.66375,-34.48633,130807.2496,0,0,0,0,-38.852268,481.76241,0,0,0,0,60,0,7.786740329,0.076725,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.658217,130957.6892,-154.641309,130882.4694,85.353523,131032.909,-38.926753,484.50906,-159.391129,485.60772,80.999044,485.42461,-34.646758,130957.6892,0,0,0,0,-39.10437,485.2415,0,0,0,0,60,0,7.724839823,0.068268,0,-42.003481,129057.9297,-161.946722,128909.4531,78.01117,129134.0859,133.750308,490.77417,13.603821,491.769775,-106.147157,490.917206,-41.976014,129033.5,0,0,0,0,133.733834,491.168976,0,0,0,0,60,0,7.507719484,-3.06794,0,-42.003536,128600.8018,-161.96371,128575.7286,78.036852,128625.8751,133.699702,487.25571,13.607748,487.98815,-106.151891,487.0726,-41.974888,128600.8018,0,0,0,0,133.71689,487.43882,0,0,0,0,60,0,7.532505237,-3.06596,0,-34.61238,131007.8358,-154.589743,130355.9307,85.428007,131057.9823,-38.995508,481.76241,-159.184864,483.04418,81.016232,481.21308,-34.595192,130807.2496,0,0,0,0,-39.052803,481.94552,0,0,0,0,60,0,7.7574332,0.076913,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.979073,130932.6159,-154.962165,130932.6159,85.049855,131007.8358,-39.442415,485.79083,-159.78074,485.60772,80.483381,486.52327,-34.961885,130957.6892,0,0,0,0,-39.574195,485.97394,0,0,0,0,60,0,7.677877001,0.071955,0,-42.322082,129060.6719,-162.265323,128916.6484,77.69806,129130.9453,133.283396,490.905762,13.246765,491.87851,-106.679994,491.872803,-42.294618,129034.7188,0,0,0,0,133.277891,491.558075,0,0,0,0,60,0,7.491266038,-3.065787,0,-42.324392,128600.8018,-162.284566,128575.7286,77.727454,128625.8751,133.241335,488.17126,13.229595,488.17126,-106.787874,487.98815,-42.295744,128600.8018,0,0,0,0,133.229876,488.17126,0,0,0,0,60,0,7.483004599,-3.064097,0,-34.921778,131007.8358,-154.922058,130355.9307,85.101421,131057.9823,-39.488251,482.31174,-159.522909,483.04418,80.517759,481.94552,-34.910318,130807.2496,0,0,0,0,-39.49971,482.49485,0,0,0,0,60,0,7.729433552,0.080923,0,0,0,0,0,0,0,0,0,0,0,0,0
56.275915,131684.814,-63.689989,131634.6675,176.299114,131734.9606,59.05476,393.50339,-67.036062,426.28008,-179.868641,388.1932,56.298833,131684.814,0,0,0,0,57.255672,402.10956,115.622883,19.95899,-109.217215,19.77588,59.986,0.04,11.03321972,-0.067317,0,49.90265,130203.6172,-70.051574,130046.9063,169.906311,130288.8281,-129.196471,399.284363,104.768374,430.589661,-8.247986,393.728272,49.919131,130179.2266,0,0,0,0,-131.014708,407.266602,-73.122257,19.786835,61.377869,19.140244,59.984001,0.04,10.67245074,3.104993,0,49.910354,129729.099,-70.072738,129704.0257,169.945012,129754.1723,-129.350952,397.53181,104.730955,427.92807,-8.55426,392.03851,49.927542,129729.099,0,0,0,0,-131.172958,405.22243,-72.570834,19.22655,60.911143,18.311,59.986,0.04,10.61946917,3.10794,0,56.34467,131709.8873,-63.638422,131083.0556,176.367869,131785.1071,58.997464,392.95406,-66.973037,422.9841,179.834263,387.64387,56.356129,131534.3744,0,0,0,0,57.169729,400.64468,115.416618,19.04344,-111.142353,18.311,59.986,0.04,10.92178912,-0.068119,0,0,0,0,0,0,0,0,0,0,0,0,0
55.811819,131283.6417,-64.165543,131258.5685,175.840747,131358.8615,58.258349,396.25004,-67.500158,427.56185,179.427463,390.57363,55.829008,131308.715,0,0,0,0,56.602501,404.30688,114.138922,19.22655,-108.798956,19.04344,59.99,0.03,10.85698687,-0.057392,0,49.391786,129806.5547,-70.562438,129652.1484,169.400945,129888.3359,-129.789741,401.092529,104.295964,432.037354,-8.962098,396.554932,49.413758,129780.2109,0,0,0,0,-131.596995,409.320831,-72.962956,19.163132,59.828796,18.774033,59.987999,0.04,10.54865279,3.104528,0,49.394692,129352.9999,-70.582671,129302.8534,169.435079,129378.0732,-129.958287,400.09535,104.26113,429.20984,-9.299105,395.33449,49.41761,129327.9267,0,0,0,0,-131.774563,407.60286,-72.834395,18.49411,58.859954,17.76167,59.988,0.04,10.44933062,3.107105,0,55.880574,131358.8615,-64.113977,130706.9565,175.898043,131409.0081,58.361481,395.33449,-67.494428,423.89965,179.169632,389.47497,55.886303,131158.2754,0,0,0,0,56.573853,402.29267,114.024331,18.86033,-111.915846,17.76167,59.988,0.03,10.76556793,-0.064484,0,0,0,0,0,0,0,0,0,0,0,0,0
53.783548,130807.2496,-66.193814,130782.1763,173.823936,130882.4694,54.362236,408.51841,-69.018496,427.37874,175.061525,406.13798,53.800737,130832.3229,0,0,0,0,53.422585,413.8286,111.193919,11.16971,-113.015925,11.53593,60,0.01,9.873530997,-0.018566,0,47.309876,129299.75,-72.638857,129150.4922,167.319035,129383.6875,-133.849182,415.008545,102.851263,431.848511,-13.263245,412.147522,47.331848,129282.6094,0,0,0,0,-134.783019,419.477478,-78.538515,10.848999,57.098694,10.786057,60,0,9.535649463,-3.131439,0,47.309125,128826.4613,-72.656778,128801.388,167.355242,128851.5345,-134.049206,413.09616,102.857383,428.66051,-13.390024,408.88463,47.337773,128826.4613,0,0,0,0,-134.891454,416.75836,-79.910424,10.62038,59.977222,10.07105,59.999,0,9.506642468,-3.123335,0,53.846574,130857.3961,-66.147977,130230.5644,173.869773,130907.5427,54.356506,407.41975,-68.9612,423.35032,174.792235,404.6731,53.863762,130656.81,0,0,0,0,53.365289,411.63128,110.586584,10.43727,-116.568263,10.07105,60,0,9.796237909,-0.020797,0,0,0,0,0,0,0,0,0,0,0,0,0
53.714793,130982.7625,-66.256839,130957.6892,173.749451,131032.909,53.938247,410.53262,-69.156006,427.19563,174.534404,408.15219,53.737712,131007.8358,0,0,0,0,53.073081,415.11037,110.420426,10.07105,-114.024331,10.43727,60,0,9.746771912,-0.012072,0,47.254944,129463.3203,-72.699284,129318.0156,167.269598,129549.1641,-134.134834,415.792481,102.686464,431.625366,-13.647766,413.600922,47.276917,129446.4219,0,0,0,0,-135.06318,420.181274,-78.511051,10.190964,54.983829,10.202408,59.999001,0,9.485544981,-3.129131,0,47.263289,129001.9742,-72.714074,128976.9009,167.309406,129027.0474,-134.307037,414.01171,102.737062,428.29429,-13.928604,411.44817,47.286207,129001.9742,0,0,0,0,-135.195121,417.85702,-77.710266,9.52172,55.061244,9.1555,60,0,9.423882963,-3.124491,0,53.783548,131007.8358,-66.211003,130381.004,173.812477,131083.0556,54.052838,408.51841,-69.064333,423.16721,174.373975,406.13798,53.789278,130832.3229,0,0,0,0,53.095999,412.54683,111.027762,9.70483,-117.914714,9.33861,59.999,0,9.717872285,-0.016991,0,0,0,0,0,0,0,0,0,0,0,0,0
