R1-PA1:VH,R1-PM1:V,R1-PA2:VH,R1-PM2:V,R1-PA3:VH,R1-PM3:V,R1-PA4:IH,R1-PM4:I,R1-PA5:IH,R1-PM5:I,R1-PA6:IH,R1-PM6:I,R1-PA7:VH,R1-PM7:V,R1-PA8:VH,R1-PM8:V,R1-PA9:VH,R1-PM9:V,R1-PA10:IH,R1-PM10:I,R1-PA11:IH,R1-PM11:I,R1-PA12:IH,R1-PM12:I,R1:F,R1:DF,R1-PA:Z,R1-PA:ZH,R1:S,R2-PA1:VH,R2-PM1:V,R2-PA2:VH,R2-PM2:V,R2-PA3:VH,R2-PM3:V,R2-PA4:IH,R2-PM4:I,R2-PA5:IH,R2-PM5:I,R2-PA6:IH,R2-PM6:I,R2-PA7:VH,R2-PM7:V,R2-PA8:VH,R2-PM8:V,R2-PA9:VH,R2-PM9:V,R2-PA10:IH,R2-PM10:I,R2-PA11:IH,R2-PM11:I,R2-PA12:IH,R2-PM12:I,R2:F,R2:DF,R2-PA:Z,R2-PA:ZH,R2:S,R3-PA1:VH,R3-PM1:V,R3-PA2:VH,R3-PM2:V,R3-PA3:VH,R3-PM3:V,R3-PA4:IH,R3-PM4:I,R3-PA5:IH,R3-PM5:I,R3-PA6:IH,R3-PM6:I,R3-PA7:VH,R3-PM7:V,R3-PA8:VH,R3-PM8:V,R3-PA9:VH,R3-PM9:V,R3-PA10:IH,R3-PM10:I,R3-PA11:IH,R3-PM11:I,R3-PA12:IH,R3-PM12:I,R3:F,R3:DF,R3-PA:Z,R3-PA:ZH,R3:S,R4-PA1:VH,R4-PM1:V,R4-PA2:VH,R4-PM2:V,R4-PA3:VH,R4-PM3:V,R4-PA4:IH,R4-PM4:I,R4-PA5:IH,R4-PM5:I,R4-PA6:IH,R4-PM6:I,R4-PA7:VH,R4-PM7:V,R4-PA8:VH,R4-PM8:V,R4-PA9:VH,R4-PM9:V,R4-PA10:IH,R4-PM10:I,R4-PA11:IH,R4-PM11:I,R4-PA12:IH,R4-PM12:I,R4:F,R4:DF,R4-PA:Z,R4-PA:ZH,R4:S,control_panel_log1,control_panel_log2,control_panel_log3,control_panel_log4,relay1_log,relay2_log,relay3_log,relay4_log,snort_log1,snort_log2,snort_log3,snort_log4,marker
108.3864261,131835.2537,-11.57374746,131810.1804,-131.5797577,131885.4002,114.6431252,302.49772,-12.421725,333.80953,-124.1255767,298.4693,108.4093444,131835.2537,0,0,0,0,112.5117222,310.92078,172.6493724,17.94478,-53.62884962,18.311,59.997,0.01,14.84344683,-0.132178581,0,103.3895912,130870.1094,-16.55364989,130725.6953,-136.5902733,130960.5625,-75.78644031,307.4798584,157.1457003,337.600708,45.14556966,302.8564453,103.4115639,130849.9375,0,0,0,0,-78.00567806,315.3419495,-17.69073466,18.15032959,114.7000088,17.5151825,59.99499893,0.01,14.33706415,3.101576991,0,103.3902341,130406.0773,-16.56993944,130381.004,-136.5587609,130431.1505,-76.07733604,306.70925,156.7899006,335.64063,44.73654464,302.1315,103.418882,130406.0773,0,0,0,0,-78.35197848,314.21676,-18.6325875,17.94478,113.0732209,17.02923,59.995,0.01,14.25420182,3.102824735,0,108.4723698,131860.3269,-11.52218126,131233.4952,-131.5224619,131935.5467,114.6488548,302.1315,-12.55923487,331.4291,-124.5209176,297.91997,108.4723698,131684.814,0,0,0,0,112.351294,309.82212,172.4660259,17.94478,-56.41915409,17.21234,59.995,0.01,14.68700739,-0.138039803,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107.8249275,131634.6675,-12.1352461,131609.5942,-132.1412563,131684.814,113.1591645,307.07547,-12.17535315,331.97843,-125.7183994,303.77949,107.8421162,131634.6675,0,0,0,0,111.6408264,313.85054,171.5492934,13.91636,-52.60898475,14.46569,59.997,0,14.00297462,-0.103489701,0,102.812809,130669.9688,-17.13592522,130526.1875,-137.1835299,130766.9297,-77.28607665,312.4523315,157.2830281,335.8383179,43.53607315,308.4411621,102.8292903,130654.2969,0,0,0,0,-78.92853224,318.5348511,-19.15191703,14.17350769,115.0186234,13.74435425,59.99900055,0.01,13.5240294,3.128576289,0,102.8115468,130230.5644,-17.14862681,130180.4178,-137.1489074,130255.6377,-77.57275588,311.65322,157.2425373,333.07709,43.30415016,306.89236,102.8344651,130230.5644,0,0,0,0,-79.1025532,316.7803,-20.96452572,13.55014,115.473914,13.00081,59.999,0,13.41124186,3.136469059,0,107.9051416,131684.814,-12.0836799,131057.9823,-132.0725014,131734.9606,113.2508378,306.70925,-12.03784328,328.13312,-126.0965516,302.86394,107.9108711,131484.2279,0,0,0,0,111.6064489,312.20255,171.6352371,13.36703,-55.70868642,12.63459,59.999,0.01,13.76231967,-0.109715776,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107.3780204,131760.0339,-12.58215318,131734.9606,-132.5881634,131835.2537,111.1824601,314.39987,-12.83425461,332.52776,-127.8669911,311.65322,107.4009387,131785.1071,0,0,0,0,110.0995699,319.34384,167.8880931,10.62038,-54.21899615,10.9866,60,0,13.18577461,-0.073367353,0,102.3733546,130820.0625,-17.55890005,130671.875,-137.6120013,130906.5,-79.35150536,319.9024048,156.5799011,336.353302,41.33331323,317.0299683,102.4008188,130798.2266,0,0,0,0,-80.53802533,324.2053833,-23.40362612,10.48851013,111.7666679,10.29396057,60,0,12.74965749,-3.123783251,0,102.3760988,130355.9307,-17.57261558,130330.8575,-137.5671666,130381.004,-79.51508281,318.42829,156.4805034,333.80953,41.21858378,314.76609,102.4047467,130355.9307,0,0,0,0,-80.66672798,322.09049,-25.35338243,10.43727,112.3226462,9.88794,59.999,0,12.72596973,-3.119152622,0,107.4525049,131835.2537,-12.51339825,131183.3486,-132.525138,131885.4002,111.279863,313.30121,-12.77695883,329.41489,-128.0503376,309.82212,107.4639641,131634.6675,0,0,0,0,110.0938403,317.32963,167.4068086,10.43727,-56.40196535,9.88794,59.999,0,13.10856861,-0.076857041,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107.3379133,131810.1804,-12.61653065,131760.0339,-132.6282704,131860.3269,110.91317,315.68164,-12.94884617,332.52776,-128.1591996,312.56877,107.3608317,131810.1804,0,0,0,0,109.8761164,320.07628,166.7249888,10.25416,-54.15024122,10.43727,60,0,13.06008721,-0.06867321,0,102.340399,130855.0781,-17.60284549,130703.8047,-137.6449638,130945.8203,-79.60967968,320.7435608,156.4755358,336.3990784,41.12457241,317.682251,102.3623717,130834.7578,0,0,0,0,-80.72479686,324.7261047,-24.6450813,10.19096375,112.074286,9.979248047,60,0,12.68022736,-3.118427373,0,102.3417214,130381.004,-17.6184522,130355.9307,-137.6130032,130431.1505,-79.74426593,318.97762,156.4518555,333.80953,40.86907953,315.49853,102.3703693,130381.004,0,0,0,0,-80.86153363,322.63982,-24.18454853,9.88794,112.1908659,9.33861,60,0,12.63534493,-3.114915865,0,107.423857,131860.3269,-12.57069403,131208.4219,-132.5480563,131910.4735,111.1079756,313.85054,-12.8629025,329.41489,-128.3368165,311.10389,107.4353162,131659.7408,0,0,0,0,109.921953,317.87896,168.0828988,10.07105,-58.35002186,9.70483,60,0,13.03675421,-0.076938006,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107.2978063,131835.2537,-12.66236727,131810.1804,-132.6683775,131910.4735,110.5636657,316.59719,-13.10927435,332.34465,-128.5659996,314.03365,107.314995,131860.3269,0,0,0,0,109.5724487,320.80872,165.8311746,9.52172,-55.65139064,9.88794,60,0,12.95113794,-0.064676425,0,102.301945,130895.5781,-17.63031139,130746.0234,-137.6834177,130985.6875,-79.79095973,321.0697021,156.3986278,336.3132324,40.66314873,319.6849976,102.3239177,130874.0781,0,0,0,0,-80.95550699,325.504303,-22.15667775,9.338378906,108.0148313,9.452819824,60,0,12.59564185,-3.121348514,0,102.3016143,130456.2238,-17.65855925,130406.0773,-137.6473807,130481.2971,-80.04220398,319.89317,156.4232076,333.62642,40.47946823,317.51274,102.3302622,130431.1505,0,0,0,0,-81.08498717,323.55537,-24.04130908,8.97239,109.9334122,8.78928,59.999,0,12.52238007,-3.112394948,0,107.3780204,131885.4002,-12.60507149,131258.5685,-132.5996225,131935.5467,110.8157672,315.13231,-13.046249,329.96422,-128.7550757,312.93499,107.3894795,131709.8873,0,0,0,0,109.6182854,319.16073,168.2547861,9.52172,-60.55590937,9.1555,60,0,12.92085895,-0.074751787,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107.1488373,131935.5467,-12.8113363,131910.4735,-132.8173465,131985.6933,109.3891022,320.99183,-13.41294198,332.89398,-129.9239096,319.34384,107.166026,131935.5467,0,0,0,0,108.6499867,324.28781,164.1008421,7.14129,-57.53069221,7.69062,60,0,12.50215105,-0.045624076,0,102.1646172,130988.2813,-17.77862553,130830.0078,-137.826237,131070.4531,-81.01593367,325.6645203,156.0855183,336.9140625,39.24041691,324.9035034,102.1865899,130961.9375,0,0,0,0,-81.9223066,329.0576782,-22.77191216,6.980895996,105.0869751,7.055282593,60,0,12.14181554,-3.099683079,0,102.1583749,130531.4436,-17.80179869,130481.2971,-137.7848906,130556.5169,-81.25687451,323.92159,156.0908921,334.35886,39.05280332,322.82293,102.1870228,130531.4436,0,0,0,0,-82.064745,327.03446,-23.48554002,6.59196,107.0285161,6.59196,59.999,0,12.11854485,-3.092376039,0,107.2233218,131985.6933,-12.76549968,131333.7883,-132.7371324,132035.8398,109.5208825,319.16073,-13.32126874,329.78111,-130.1817406,317.87896,107.2405105,131785.1071,0,0,0,0,108.6442571,322.2736,166.8166621,6.95818,-63.09984198,6.77507,60,0,12.46825757,-0.051927343,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107.1431077,131935.5467,-12.8113363,131910.4735,-132.8173465,131985.6933,109.3260769,321.17494,-13.41294198,332.89398,-129.9582871,319.16073,107.166026,131935.5467,0,0,0,0,108.6213388,324.28781,164.1008421,7.14129,-56.45353155,7.50751,60,0,12.48361313,-0.042902394,0,102.1591189,130985.7344,-17.78411871,130835.2969,-137.826237,131076.875,-81.09833307,326.0593262,156.0855183,336.9083252,39.19647489,324.972168,102.1810916,130964.1875,0,0,0,0,-81.96625204,329.2121887,-23.705751,6.900787354,105.9713754,6.87789917,60,0,12.10958791,-3.096871203,0,102.1583749,130531.4436,-17.80179869,130481.2971,-137.7963497,130556.5169,-81.29698155,324.47092,156.0851625,334.17575,38.98977796,322.82293,102.1870228,130531.4436,0,0,0,0,-82.09912246,327.03446,-24.74604717,6.40885,106.7649555,6.22574,60,0,12.06356599,-3.091065782,0,107.2290514,131985.6933,-12.76549968,131333.7883,-132.742862,132035.8398,109.4979642,319.71006,-13.33845747,330.14733,-130.1301744,317.87896,107.2347809,131785.1071,0,0,0,0,108.6499867,322.45671,165.2868647,6.95818,-61.7934982,6.77507,60,0,12.45139492,-0.049833098,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107.0972711,131935.5467,-12.85717292,131910.4735,-132.8631831,132010.7666,108.9192769,322.2736,-13.50461523,333.2602,-130.3765463,320.62561,107.1201894,131960.62,0,0,0,0,108.3234007,325.38647,163.7513378,6.40885,-55.42220752,6.95818,59.999,0,12.37509225,-0.034865825,0,102.1151735,131007.8672,-17.82257097,130852.9766,-137.864691,131090.2813,-81.4389068,327.0892944,155.9646649,336.9083252,38.97125282,325.7961426,102.1371462,130981.4766,0,0,0,0,-82.1914707,329.8358765,-26.688539,6.448745728,106.9711306,6.511688232,59.99900055,0,12.03617603,-3.08964512,0,102.1125382,130531.4436,-17.84763532,130506.3704,-137.8307272,130581.5902,-81.66367454,325.38647,155.9476527,334.54197,38.66892159,323.92159,102.1411861,130531.4436,0,0,0,0,-82.36841263,327.95001,-24.98095987,6.04263,108.2145388,5.85952,60,0,11.99381305,-3.083806413,0,107.1717556,132010.7666,-12.79414757,131358.8615,-132.8001578,132060.9131,109.1713783,320.4425,-13.40721241,329.96422,-130.6286477,319.71006,107.1889443,131810.1804,0,0,0,0,108.3635078,323.37226,167.0458452,6.04263,-65.35729569,6.04263,60,0,12.33526697,-0.047218415,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107.0342457,131960.62,-12.92592786,131935.5467,-132.931938,132035.8398,108.455181,324.1047,-13.61347721,333.07709,-130.9495041,322.63982,107.0514344,131960.62,0,0,0,0,107.9452486,326.66824,162.255918,5.4933,-56.59104143,5.85952,60,0,12.17894137,-0.027937751,0,102.0437639,131012.0781,-17.8939823,130863.1563,-137.9306023,131100.125,-82.0321702,328.9375305,155.8328286,337.2459412,38.35602011,328.2565918,102.0712281,130988.1797,0,0,0,0,-82.63092507,331.4151611,-27.63336249,5.229949951,106.2185667,5.561828613,60,0,11.86573445,-3.079021169,0,102.0495129,130556.5169,-17.91639025,130531.4436,-137.8937526,130556.5169,-82.14495909,327.21757,155.7471175,334.72508,38.21055536,325.20336,102.0781608,130531.4436,0,0,0,0,-82.74656477,328.86556,-28.75675174,5.4933,108.8046853,5.12708,60,0,11.84666519,-3.074237455,0,107.1030006,132010.7666,-12.86863208,131358.8615,-132.8574535,132060.9131,108.6958233,322.2736,-13.53326312,330.14733,-130.9380449,320.4425,107.1201894,131810.1804,0,0,0,0,108.0598402,324.28781,162.4621828,5.67641,-61.61015171,5.31019,60,0,12.19534141,-0.03478329,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107.0227866,131960.62,-12.93165744,131935.5467,-132.9433972,132035.8398,108.4494515,324.28781,-13.65358426,333.44331,-130.8979379,322.2736,107.0399753,131960.62,0,0,0,0,107.9452486,326.66824,161.7975518,5.67641,-54.82060184,6.04263,60,0,12.18907369,-0.026347766,0,102.0492553,131013.9922,-17.90496866,130861.2969,-137.9525818,131108.3125,-82.07611563,329.120636,155.7943747,337.4862671,38.26263435,328.2623291,102.0602451,130991.1172,0,0,0,0,-82.68585345,331.5582275,-26.26556417,5.281448364,106.6085842,5.447387695,59.99900055,0,11.84909592,-3.077642554,0,102.0495129,130556.5169,-17.92784941,130531.4436,-137.9224004,130556.5169,-82.1678774,327.03446,155.8330611,334.90819,38.06158633,325.20336,102.0667016,130531.4436,0,0,0,0,-82.77521266,329.04867,-24.07568655,5.12708,109.3547248,4.76086,60,0,11.82604682,-3.07264326,0,107.0972711,132010.7666,-12.88582081,131358.8615,-132.8746423,132060.9131,108.5926909,322.45671,-13.56764059,330.33044,-131.0239886,320.99183,107.1087302,131810.1804,0,0,0,0,107.9796261,324.47092,162.1413264,5.4933,-61.44972353,5.31019,59.999,0,12.18530412,-0.033189339,0,0,0,0,0,0,0,0,0,0,0,0,0,1
